Type;Name;Date Added;Modified History;Description
Theme;ACT_FORCEPOSTURE;10/1/14;10/1/14;Actions relating to changes in force posture
Theme;ACT_HARMTHREATEN;10/1/14;10/1/14;Actions relating to harming or threatening
Theme;ACT_MAKESTATEMENT;10/1/14;10/1/14;Actions relating to making a statement
Theme;ACT_YIELD;10/1/14;10/1/14;Actions relating to yielding
Count;AFFECT;10/13/13;10/13/13;This broad category captures everything from being sickened to refugees, evacuations, displaced persons, stranded, etc
Theme;AGRICULTURE;10/13/13;10/13/13;General discussion of agriculture
Theme;ALLIANCE;5/18/14;5/18/14;Self-identified discussion of alliances and coalitions
Theme;APPOINTMENT;10/13/13;10/13/13;An appointment of someone to something
Theme;ARMEDCONFLICT;10/13/13;10/13/13;Primary discussion of armed conflict, from ground assaults to air raids
Count;ARREST;10/13/13;10/13/13;Discussion of someone being arrested, detained, jailed, imprisoned, etc
Theme;ASSASSINATION;10/13/13;10/13/13;Actual discussion of assassination
Theme;AUSTERITY;2/20/14;2/20/14;Mention of austerity.
Theme;AVIATION_INCIDENT;2/20/14;2/20/14;Plane/helicopter crashes, collisions, accidents.
Theme;BAN;10/13/13;10/13/13;Something being banned, prohibited, outlawed, criminalized, etc
Theme;BLACK_MARKET;10/13/13;10/13/13;"Actual mentions of ""black market"", not related terms"
Theme;BLOCKADE;10/13/13;10/13/13;Mentions of blockades and no fly zones - use in combination with the military themes to distinguish armed vs non-kinetic blockades
Theme;BORDER;10/13/13;10/13/13;Any discussion of borders
Theme;BULLYING;12/20/13;12/20/13;"Explicit mention of the word ""bullying/cyberbullying"""
Theme;CEASEFIRE;10/13/13;10/13/13;Mentions of ceasefires, truces, peace deals, suspension of hostilities, etc
Theme;CHARASMATIC_LEADERSHIP;5/6/14;5/6/14;Charasmatic leadership
Theme;CHECKPOINT;10/13/13;10/13/13;Security checkpoints
Theme;CLAIM_CREDIT;10/13/13;10/13/13;Claims of responsibility or credit, for good (claimed credit for the success) and bad (claimed credit for the bombing)
Theme;CLOSURE;10/13/13;10/13/13;Discussion of closure other than road, bridge, street, closure (ie, facility closure, military base closure, etc)
Theme;CONFISCATION;10/13/13;10/13/13;Actual mention of confiscation in the text
Theme;CONSTITUTIONAL;10/13/13;10/13/13;Discussion of constitutionalism
Theme;CORRUPTION;10/13/13;10/13/13;Corruption, kickbacks, embezzling, profiteering, etc
Theme;CRIME_CARTELS;10/13/13;10/13/13;Primarily focused around mentions of drug cartels, drug corridors, etc.  Does not currently have a list of cartels, just captures general discussion of them
Theme;CRIME_COMMON_ROBBERY;10/13/13;10/13/13;Discussion of general crime like pickpocketing, robbery, street criminals, etc
Theme;CRIME_ILLEGAL_DRUGS;10/13/13;10/13/13;Mentions of illegal drugs
Theme;CURFEW;10/13/13;10/13/13;Discussion of any curfew
Theme;CYBER_ATTACK;10/13/13;10/13/13;Any discussion of cyberwarfare, cyberattacks, phishing, hacking, hacktivists, viruses, etc
Theme;DEATH_PENALTY;10/13/13;10/13/13;From general discussion of capital punishment to actual mentions of death sentences
Theme;DEFECTION;10/13/13;10/13/13;Any discussion of defection or defectors
Theme;DELAY;10/13/13;10/13/13;Canceling, postponing, stalling delaying anything
Theme;DEMOCRACY;10/13/13;10/13/13;"Actual mention of the term ""democracy"""
Theme;DISABILITY;2/20/14;2/20/14;Disability, disabled, handicapped.
Theme;DISCRIMINATION;10/13/13;10/13/13;Racism, homophobia, xenophobia, etc
Count;DISPLACED;10/25/13;10/25/13;This category counts mentions of people being displaced - see REFUGEES for counts of refugees, forced migration, and related
Theme;DRONE;2/20/14;2/20/14;Drones, UAVs.
Theme;DRUG_TRADE;10/13/13;10/13/13;General discussion of the drug trade in broad terms - broader than the other categories
Theme;ECON_BANKRUPTCY;10/13/13;10/13/13;Bankruptcy and bailouts
Theme;ECON_BOYCOTT;10/1/14;10/1/14;Boycotts
Theme;ECON_COST_OF_LIVING;10/13/13;10/13/13;"Explicit mention of ""cost of living"", ""median wage"", etc"
Theme;ECON_CURRENCY_EXCHANGE_RATE;10/13/13;10/13/13;Exchange rates, foreign exchange, forex, currency fluctuation,  etc
Theme;ECON_CURRENCY_RESERVES;10/13/13;10/13/13;Currency reserves, forex reserves, dollar and euro reserves, etc
